MaterialState;Sample;Image;Precipitate#;area;axis_major_length;axis_minor_length;aspect_ratio;centroid-X;centroid-Y;area_in_nm2;radius_in_nm;BitSizeValue;DiskRadiusValue[pixel];OtsuThresholdValue[np];KernelValue;MaskSetValue;BG_LabelValue;Date
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;1;1039;42,81510305;31,37858896;1,364468718;32,25312801;554,8931665;23,3775;2,727872681;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;2;3176;93,3345333;47,38501827;1,969705547;137,8803526;462,4622166;71,46;4,769321175;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;3;151;19,1371554;10,1775765;1,88032538;96,37086093;1230,794702;3,3975;1,039931651;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;4;4811;125,527281;51,24057831;2,449763159;139,9237165;1775,790896;108,2475;5,869944583;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;5;250;21,5509169;15,09863771;1,427341811;155,836;1529,132;5,625;1,338093087;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;6;232;19,34380582;15,33637874;1,261302042;205,6293103;451,2543103;5,22;1,289021957;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;7;3297;66,4354633;63,48846614;1,046417835;253,8580528;1421,099788;74,1825;4,85932332;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;8;2227;60,70771121;47,43266908;1,279871287;287,4310732;889,2972609;50,1075;3,993709131;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;9;248;29,68321668;10,73093684;2,766134693;287,4233871;2027,895161;5,58;1,332729967;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;10;3652;72,97492489;64,44005521;1,132446654;322,6673056;993,9153888;82,17;5,114247095;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;11;199;27,19532771;9,433429433;2,882867562;309,2110553;1500,778894;4,4775;1,193831025;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;12;223;25,08310404;11,43022983;2,194453166;338,4215247;2031,843049;5,0175;1,263772074;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;13;104;16,30837019;8,705916311;1,873251432;347,375;1725,096154;2,34;0,863044109;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;14;167;21,38248032;10,11384398;2,114179374;374,2095808;2035,598802;3,7575;1,093640433;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;15;2505;140,9500034;23,94893971;5,885438149;444,805988;1730,869062;56,3625;4,235651185;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;16;2845;101,3588446;39,4099897;2,571907411;429,9817223;466,5047452;64,0125;4,51395742;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;17;387;32,69826973;16,02590341;2,040338625;409,8191214;1220,44186;8,7075;1,66483733;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;18;9176;140,6482813;83,66182682;1,681152404;450,7923932;883,8552746;206,46;8,106679906;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;19;1453;75,41988825;26,44809931;2,851618461;535,6421198;469,238128;32,6925;3,225886848;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;20;299;28,17432781;16,63432809;1,693746068;534,9331104;504,7491639;6,7275;1,463362484;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;21;227;27,12744402;13,08891505;2,072551003;546,6255507;1728,991189;5,1075;1,275055977;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;22;137;16,15962353;10,80852735;1,495080968;540,7080292;1577,547445;3,0825;0,990550465;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;23;162;23,65876341;10,72765613;2,205399121;546,6481481;1715,950617;3,645;1,077144157;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;24;362;28,80465901;16,25447392;1,772106508;562,7071823;515,0552486;8,145;1,610165837;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;25;276;23,01522566;16,3846229;1,404684489;568,0471014;360,1231884;6,21;1,405953197;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;26;195;22,52708957;12,15731012;1,852966598;566,5641026;1712,384615;4,3875;1,181771816;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;27;7472;179,2944715;55,23590063;3,245977154;673,9836724;505,0816381;168,12;7,315344016;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;28;3500;81,49584857;56,23577894;1,449181466;659,8237143;689,0682857;78,75;5,006685884;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;29;6714;129,3254975;67,78906001;1,907763545;681,6557939;1197,671731;151,065;6,934369687;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;30;6723;107,8297971;81,18438176;1,328208638;679,5696862;285,4544102;151,2675;6,939015831;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;31;1009;43,74269154;29,669605;1,474326724;645,4826561;1732,576809;22,7025;2,688202037;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;32;249;23,08697124;14,03905553;1,644481795;645,5140562;802,2610442;5,6025;1,335414219;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;33;113;14,49852156;9,913247276;1,46254009;645,6017699;1346,256637;2,5425;0,899612631;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;34;373;33,83343898;15,84886375;2,134754864;694,3887399;1736,525469;8,3925;1,63444661;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;35;895;69,73082086;19,58393651;3,560613098;733,1631285;1739,240223;20,1375;2,531790934;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;36;104;14,33240927;9,282583914;1,544010741;751,7019231;1147,653846;2,34;0,863044109;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;37;485;40,75357231;17,62658921;2,312050949;776,8391753;1775,713402;10,9125;1,863748007;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;38;254;21,93346892;16,55544368;1,324849357;777,9448819;1747,452756;5,715;1,348755352;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;39;5936;217,1116462;44,98452604;4,826362871;906,8003706;1786,679751;133,56;6,520235302;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;40;167;18,12613011;11,77428423;1,539467687;828,1676647;250,994012;3,7575;1,093640433;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;41;1083;57,37039082;25,70461464;2,231910169;850,8199446;510,9095106;24,3675;2,785034318;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;42;1508;56,9332394;33,96737674;1,676115287;876,7281167;1179,817639;33,93;3,286374056;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;43;291;24,75977423;15,02407076;1,64800703;901,2268041;538,1649485;6,5475;1,443652998;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;44;188;16,85464551;14,37744326;1,172297828;899,2606383;1568,170213;4,23;1,160366674;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;45;458;27,28006619;21,43900342;1,272450293;948,849345;1096,744541;10,305;1,811127653;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;46;2883;70,61946001;53,51665849;1,319579025;970,0332986;573,5747485;64,8675;4,544003361;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;47;377;36,89080788;16,50608752;2,234981962;976,2015915;1387,530504;8,4825;1,643187028;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;48;264;21,08605116;17,69961267;1,191328395;975,0795455;1581,325758;5,94;1,375049353;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;49;1138;39,63389692;37,4424162;1,058529362;1021,420914;881,301406;25,605;2,854877342;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;50;335;34,26221765;14,58503982;2,349134323;1060,928358;532,6507463;7,5375;1,548954734;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;51;292;27,56196029;14,04901909;1,961842326;1086,465753;1987,808219;6,57;1,446131374;4;8;Otsu;3;255;0;05.04.2023
