MaterialState;Sample;Image;Precipitate#;area;axis_major_length;axis_minor_length;aspect_ratio;centroid-X;centroid-Y;area_in_nm2;radius_in_nm;BitSizeValue;DiskRadiusValue[pixel];OtsuThresholdValue[np];KernelValue;MaskSetValue;BG_LabelValue;Date
190C-2500h;Sample1;Stelle1 DF 20s;1;214;20,35878518;14,053219;1,448691946;59,59813084;335,9626168;4,815;1,238007311;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle1 DF 20s;2;8641;129,8984714;86,94976961;1,493948425;243,4173128;1526,792964;194,4225;7,866803916;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle1 DF 20s;3;6003;111,4907443;69,16687602;1,611909497;302,9511911;1816,900883;135,0675;6,556929201;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle1 DF 20s;4;1481;53,13801712;35,99690143;1,476183088;390,8082377;1735,971641;33,3225;3,256820717;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle1 DF 20s;5;2637;72,17483749;47,56477581;1,517400981;708,6719757;1542,016306;59,3325;4,345816531;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle1 DF 20s;6;1805;55,89844634;43,36593442;1,288994394;772,3285319;1365,619391;40,6125;3,595463844;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle1 DF 20s;7;18213;228,5914862;114,1464833;2,002615234;1569,451271;567,9626091;409,7925;11,42107718;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle1 DF 20s;8;2055;58,53486597;45,29655931;1,292258548;1618,341606;1736,474453;46,2375;3,836385455;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle1 DF 20s;9;8978;138,8035246;98,4430499;1,409988056;1946,574515;723,4829583;202,005;8,018739836;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle1 DF 20s;10;126;14,43805351;11,47377109;1,258352933;2001,126984;1470,738095;2,835;0,949951855;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;1;2021;61,46762686;42,43820173;1,448403192;193,6813459;1811,218209;45,4725;3,804516566;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;2;7979;128,4819216;81,72710635;1,572084555;225,8439654;285,7284121;179,5275;7,559456203;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;3;4005;86,52398315;61,98727333;1,395834637;282,5535581;579,694382;90,1125;5,355716536;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;4;154;17,2064958;11,65680835;1,476089792;314,3311688;542,3571429;3,465;1,050211291;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;5;685;45,99977586;23,43249218;1,963076548;370,9430657;494,2087591;15,4125;2,214938175;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;6;1707;64,73159159;36,54149765;1,771454258;694,6672525;304,8904511;38,4075;3,496496383;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;7;2194;54,61448052;51,51825282;1,060099626;753,0966272;128,4261623;49,365;3,964009023;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;8;2455;66,74853722;52,16708362;1,279514448;927,706721;937,9303462;55,2375;4,193166147;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;9;9643;148,5972371;84,10765841;1,766750376;1004,132324;1180,548792;216,9675;8,310409149;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;10;187;21,25034995;11,54928545;1,839970969;996,2352941;915,2299465;4,2075;1,157276478;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;11;1485;53,24725639;37,35683559;1,425368491;1606,817508;503,5474747;33,4125;3,261215889;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;12;6690;121,669614;71,35267802;1,705186369;1802,19148;983,645142;150,525;6,921964722;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;13;7807;109,274728;92,5035339;1,181303279;1888,283335;1376,617395;175,6575;7,477534275;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle2 DF 20s;14;313;27,27374845;15,62306946;1,745735594;1969,923323;194,7252396;7,0425;1,4972299;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;1;3500;70,95398064;63,30767195;1,120780127;57,93885714;1280,132571;78,75;5,006685884;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;2;7124;117,3771278;79,75566429;1,471708985;110,4402021;173,3571028;160,29;7,142960987;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;3;10902;159,5234861;88,24951425;1,80764152;171,5986058;423,1490552;245,295;8,836278828;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;4;2712;68,96239376;50,72809907;1,359451567;132,7175516;1953,577802;61,02;4,407183824;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;5;4950;89,65846396;70,91345973;1,264336338;589,0725253;1331,082626;111,375;5,954138357;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;6;6730;119,9351207;72,9397585;1,644303781;966,5778603;224,6805349;151,425;6,94262735;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;7;7360;103,2127658;92,29628302;1,118276516;1053,858424;617,4827446;165,6;7,260311092;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;8;9910;201,4744656;65,39639181;3,080819293;1115,19001;1873,814733;222,975;8,424674882;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;9;6489;124,6006003;67,86536037;1,835997034;1459,617661;898,5834489;146,0025;6,817187041;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;10;6560;112,8057778;80,03718771;1,40941706;1538,45122;589,6371951;147,6;6,854381022;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;11;5723;100,3073383;73,05485516;1,373041368;1623,92137;1523,0982;128,7675;6,402184648;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle3 DF 20s;12;9503;142,4163043;88,2903164;1,613045576;1934,438072;504,7341892;213,8175;8,249862065;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;1;10372;124,9715556;111,9654993;1,116161285;397,80457;1709,72474;233,37;8,618815356;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;2;681;36,35257075;27,77653454;1,308751122;588,6108664;1458,399413;15,3225;2,208461734;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;3;12095;188,6944003;83,69401862;2,254574501;828,8724266;849,6172799;272,1375;9,307204556;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;4;2448;63,0969128;50,38107006;1,252393264;978,5486111;147,6968954;55,08;4,187183843;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;5;8246;135,4860835;80,67675397;1,679369543;1091,850958;400,0497211;185,535;7,684895883;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;6;6513;118,9090255;70,47673612;1,687209596;1343,804545;1088,926608;146,5425;6,829782317;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;7;8743;153,2753041;74,25851572;2,064077131;1363,650921;1654,174768;196,7175;7,913098321;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;8;6403;129,6103195;63,72768427;2,033814988;1535,404342;1653,726534;144,0675;6,7718616;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample1;Stelle4 DF 20s;9;9426;131,4226175;93,07518235;1,412004943;1768,704116;978,6561638;212,085;8,216370988;4;8;Otsu;3;255;0;05.04.2023
