MaterialState;Sample;Image;Precipitate#;area;axis_major_length;axis_minor_length;aspect_ratio;centroid-X;centroid-Y;area_in_nm2;radius_in_nm;BitSizeValue;DiskRadiusValue[pixel];OtsuThresholdValue[np];KernelValue;MaskSetValue;BG_LabelValue;Date
T61;Sample1;Stelle1 DF 30s;1;130;16,24658458;10,21159415;1,590993956;6,669230769;761,2307692;2,925;0,964912647;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;2;431;25,81265597;21,42750836;1,204650374;22,73317865;1007,00464;9,6975;1,75693202;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;3;313;22,05212556;18,27452677;1,206713905;39,31309904;1330,204473;7,0425;1,4972299;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;4;350;23,55501672;19,42188907;1,212807706;47,05142857;1942,934286;7,875;1,583253092;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;5;242;19,75676422;15,73245157;1,25579692;45,44628099;590,1198347;5,445;1,316509525;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;6;120;12,60122208;12,15813774;1,036443438;88,39166667;1186,741667;2,7;0,927058085;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;7;405;26,12861438;19,98142166;1,307645413;115,237037;955,0148148;9,1125;1,703114452;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;8;316;21,11044037;19,1527522;1,102214457;135,3955696;524,6139241;7,11;1,504388012;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;9;1140;45,44398567;32,92796496;1,380103074;157,2842105;1609,624561;25,65;2,85738492;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;10;103;12,70224092;10,36092233;1,225975885;185,6019417;1624,417476;2,3175;0,858884836;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;11;2545;72,15358489;45,40818438;1,588999557;224,5355599;1137,549312;57,2625;4,269334826;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;12;1352;53,77040798;33,0914397;1,624903857;222,1671598;887,3158284;30,42;3,111749787;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;13;298;23,29662953;16,3606347;1,423944117;228,5167785;1020,110738;6,705;1,46091334;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;14;2204;58,43286268;48,61469327;1,201958888;363,637931;46,603902;49,59;3,973032501;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;15;1038;44,03908297;31,06130073;1,417811938;433,8959538;1512,776493;23,355;2,726559626;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;16;4370;111,4795629;54,08382704;2,061236585;475,4871854;145,8789474;98,325;5,59444542;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;17;1173;53,64689784;29,30195832;1,830829778;524,6896846;1910,050298;26,3925;2,898446769;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;18;410;27,69669538;19,9556266;1,387914093;544,7780488;740,6170732;9,225;1,713595256;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;19;937;43,97181836;27,81963294;1,58060383;594,8537887;604,6307364;21,0825;2,590515041;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;20;164;23,78578074;9,250553715;2,571281836;626,7195122;670,2804878;3,69;1,083772799;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;21;2940;69,60313614;54,32813991;1,281161775;718,0802721;242,8292517;66,15;4,588703408;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;22;509;30,32270178;21,43841842;1,414409458;707,7111984;1056,410609;11,4525;1,909304578;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;23;303;21,69454536;17,83317059;1,216527664;778,7788779;1938,379538;6,8175;1,473118342;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;24;206;17,47232987;15,02075718;1,163212324;796,276699;1095,063107;4,635;1,214646583;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;25;399;26,17549171;19,86096568;1,317936506;826,7318296;1850,651629;8,9775;1,690451716;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;26;156;16,67905045;11,9766074;1,392635652;834,5128205;1538,416667;3,51;1,057008846;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;27;700;34,01440388;27,40815464;1,241032252;848,0557143;890,7742857;15,75;2,239057996;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;28;144;14,96411838;12,2367467;1,222883724;849,0694444;1031,548611;3,24;1,01554125;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;29;130;14,18980109;11,7557623;1,207050698;872,6461538;779,7384615;2,925;0,964912647;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;30;122;13,66846013;11,6743582;1,170810412;898,852459;350,4754098;2,745;0,934751645;4;8;Otsu;3;255;0;05.04.2023
