,SpecimenName,Aging Temp [°C],Aging Time [h],Creep Stress [MPa],Dataset,Position_Id,Image,ROIs,DiskRadiusValue [px],Threshold Method,Dilation Kernel Size [px],Date
0,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 10 DF 30s,https://metadata.omero.matolab.org/api/image/83,https://metadata.omero.matolab.org/api/rois/83,4,Otsu,3,2023-07-18T09:13:50.840764
1,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 11 DF 30s,https://metadata.omero.matolab.org/api/image/84,https://metadata.omero.matolab.org/api/rois/84,4,Otsu,3,2023-07-18T09:13:55.369956
2,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 12 DF 30s,https://metadata.omero.matolab.org/api/image/85,https://metadata.omero.matolab.org/api/rois/85,4,Otsu,3,2023-07-18T09:14:00.232254
3,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 1 DF 20s,https://metadata.omero.matolab.org/api/image/74,https://metadata.omero.matolab.org/api/rois/74,4,Otsu,3,2023-07-18T09:14:05.138042
4,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 2 DF 20s,https://metadata.omero.matolab.org/api/image/75,https://metadata.omero.matolab.org/api/rois/75,4,Otsu,3,2023-07-18T09:14:09.809773
5,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 3 DF 30s,https://metadata.omero.matolab.org/api/image/76,https://metadata.omero.matolab.org/api/rois/76,4,Otsu,3,2023-07-18T09:14:14.305355
6,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 4 DF 30s 2,https://metadata.omero.matolab.org/api/image/77,https://metadata.omero.matolab.org/api/rois/77,4,Otsu,3,2023-07-18T09:14:19.284800
7,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 5 DF 30s,https://metadata.omero.matolab.org/api/image/78,https://metadata.omero.matolab.org/api/rois/78,4,Otsu,3,2023-07-18T09:14:23.653704
8,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 6 DF 30s,https://metadata.omero.matolab.org/api/image/79,https://metadata.omero.matolab.org/api/rois/79,4,Otsu,3,2023-07-18T09:14:28.280601
9,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 7 DF 30s,https://metadata.omero.matolab.org/api/image/80,https://metadata.omero.matolab.org/api/rois/80,4,Otsu,3,2023-07-18T09:14:32.631473
10,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 8 DF 30s,https://metadata.omero.matolab.org/api/image/81,https://metadata.omero.matolab.org/api/rois/81,4,Otsu,3,2023-07-18T09:14:37.147766
11,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 9 DF 30s,https://metadata.omero.matolab.org/api/image/82,https://metadata.omero.matolab.org/api/rois/82,4,Otsu,3,2023-07-18T09:14:41.998466
12,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle10,https://metadata.omero.matolab.org/api/image/142,https://metadata.omero.matolab.org/api/rois/142,4,Otsu,3,2023-07-18T09:14:47.700992
13,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle11,https://metadata.omero.matolab.org/api/image/143,https://metadata.omero.matolab.org/api/rois/143,4,Otsu,3,2023-07-18T09:14:52.225371
14,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle1,https://metadata.omero.matolab.org/api/image/133,https://metadata.omero.matolab.org/api/rois/133,4,Otsu,3,2023-07-18T09:14:56.626722
15,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle2,https://metadata.omero.matolab.org/api/image/134,https://metadata.omero.matolab.org/api/rois/134,4,Otsu,3,2023-07-18T09:15:01.109043
16,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle3,https://metadata.omero.matolab.org/api/image/135,https://metadata.omero.matolab.org/api/rois/135,4,Otsu,3,2023-07-18T09:15:05.603235
17,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle4,https://metadata.omero.matolab.org/api/image/136,https://metadata.omero.matolab.org/api/rois/136,4,Otsu,3,2023-07-18T09:15:09.830158
18,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle5,https://metadata.omero.matolab.org/api/image/137,https://metadata.omero.matolab.org/api/rois/137,4,Otsu,3,2023-07-18T09:15:14.225105
19,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle6,https://metadata.omero.matolab.org/api/image/138,https://metadata.omero.matolab.org/api/rois/138,4,Otsu,3,2023-07-18T09:15:19.239703
20,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle7,https://metadata.omero.matolab.org/api/image/139,https://metadata.omero.matolab.org/api/rois/139,4,Otsu,3,2023-07-18T09:15:23.963449
21,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle8,https://metadata.omero.matolab.org/api/image/140,https://metadata.omero.matolab.org/api/rois/140,4,Otsu,3,2023-07-18T09:15:28.362860
22,190C_25000h_S1_1,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/58,Stelle9,https://metadata.omero.matolab.org/api/image/141,https://metadata.omero.matolab.org/api/rois/141,4,Otsu,3,2023-07-18T09:15:33.107938
23,190C_25000h_S2_2,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/59,Stelle10 DF 20s,https://metadata.omero.matolab.org/api/image/153,https://metadata.omero.matolab.org/api/rois/153,4,Otsu,3,2023-07-18T09:15:38.381842
24,190C_25000h_S2_2,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/59,Stelle1 DF 20s,https://metadata.omero.matolab.org/api/image/144,https://metadata.omero.matolab.org/api/rois/144,4,Otsu,3,2023-07-18T09:15:42.835599
25,190C_25000h_S2_2,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/59,Stelle2 DF 20s,https://metadata.omero.matolab.org/api/image/145,https://metadata.omero.matolab.org/api/rois/145,4,Otsu,3,2023-07-18T09:15:47.313880
26,190C_25000h_S2_2,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/59,Stelle3 DF 20s,https://metadata.omero.matolab.org/api/image/146,https://metadata.omero.matolab.org/api/rois/146,4,Otsu,3,2023-07-18T09:15:52.164990
27,190C_25000h_S2_2,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/59,Stelle4 DF 20s,https://metadata.omero.matolab.org/api/image/147,https://metadata.omero.matolab.org/api/rois/147,4,Otsu,3,2023-07-18T09:15:56.779559
28,190C_25000h_S2_2,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/59,Stelle5 DF 20s,https://metadata.omero.matolab.org/api/image/148,https://metadata.omero.matolab.org/api/rois/148,4,Otsu,3,2023-07-18T09:16:01.187608
29,190C_25000h_S2_2,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/59,Stelle6 DF 20s,https://metadata.omero.matolab.org/api/image/149,https://metadata.omero.matolab.org/api/rois/149,4,Otsu,3,2023-07-18T09:16:05.732452
30,190C_25000h_S2_2,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/59,Stelle7 DF 20s,https://metadata.omero.matolab.org/api/image/150,https://metadata.omero.matolab.org/api/rois/150,4,Otsu,3,2023-07-18T09:16:10.493988
31,190C_25000h_S2_2,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/59,Stelle8 DF 20s,https://metadata.omero.matolab.org/api/image/151,https://metadata.omero.matolab.org/api/rois/151,4,Otsu,3,2023-07-18T09:16:15.034696
32,190C_25000h_S2_2,190.0,25000.0,0,https://metadata.omero.matolab.org/api/dataset/59,Stelle9 DF 20s,https://metadata.omero.matolab.org/api/image/152,https://metadata.omero.matolab.org/api/rois/152,4,Otsu,3,2023-07-18T09:16:19.619042
33,190C_2500h_S1_1,190.0,2500.0,0,https://metadata.omero.matolab.org/api/dataset/54,Stelle1 DF 20s,https://metadata.omero.matolab.org/api/image/86,https://metadata.omero.matolab.org/api/rois/86,4,Otsu,3,2023-07-18T09:16:25.175924
