Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;area_in_nm2;radius_in_nm;;;;
1;na;1;1;299;409,41;16,42;63,113;20,301;18,753;51,196;21,954;404;26;59,931;19;6,7275;1,463362484;;;;
1;na;1;2;730;1007,125;21,76;101,154;33,43;27,803;171,384;34,366;990;19;171,634;28;16,425;2,28653447;;;;
1;na;1;3;595;1331,226;38,766;90,326;29,282;25,872;97,28;30,265;1328;24;97,595;26;13,3875;2,064309473;;;;
1;na;1;4;918;594,272;44,496;114,225;34,992;33,403;174,608;37,162;579;52;23,806;33,877;20,655;2,564115968;;;;
1;na;1;5;1129;1943,564;47,698;126,468;42,578;33,761;158,031;43,267;1923;38;146,31;35,055;25,4025;2,843565875;;;;
1;na;1;6;118;718,407;40,059;40,042;12,617;11,908;149,022;13,601;713;36;143,973;12;2,655;0,91930014;;;;
1;na;1;7;393;908,576;52,093;76,184;28,064;17,83;3,317;28,284;894;54;8,13;18;8,8425;1,677693407;;;;
1;na;1;8;336;1185,827;88,057;67,841;21,745;19,674;140,493;22,804;1179;79;127,875;19,799;7,56;1,551264884;;;;
1;na;1;9;787;956,336;114,862;103,983;32,559;30,776;150,229;34,015;940;108;155,695;31,759;17,7075;2,374125588;;;;
1;na;1;10;401;236,809;118,143;75,012;25,231;20,235;124,569;26,401;229;107;127,304;21,027;9,0225;1,694683141;;;;
1;na;1;11;559;526,044;136,967;86,669;27,49;25,891;144,14;28,601;517;126;126,469;26;12,5775;2,000885452;;;;
1;na;1;12;484;1337,068;143,94;85,497;29,221;21,089;23,891;30,232;1325;152;34,216;21,781;10,89;1,861825626;;;;
1;na;1;13;2481;1615,823;162,069;193,723;68,494;46,119;130,36;69,778;1599;132;115,463;48,083;55,8225;4,215311806;;;;
1;na;1;14;190;1022,1;144,889;50,527;17,7;13,668;44,046;18,868;1014;150;32,005;14,142;4,275;1,166522509;;;;
1;na;1;15;434;1447,24;189,498;75,841;25,153;21,969;67,911;26,077;1441;201;57,529;22;9,765;1,763036029;;;;
1;na;1;16;3028;884,702;216,359;223,38;72,035;53,521;142,401;74,518;856;192;139,899;57,908;68,13;4,656871541;;;;
1;na;1;17;4325;1138,127;221,322;253,279;83,48;65,965;4,585;84,481;1097;212;173,884;66,39;97,3125;5,56556653;;;;
1;na;1;18;763;1684,199;209,967;101,74;33,955;28,611;175,884;34,928;1667;207;166,759;28;17,1675;2,337645176;;;;
1;na;1;19;663;1021,262;227,029;95,497;29,545;28,572;16,136;30,806;1014;241;54,246;29;14,9175;2,17907956;;;;
1;na;1;20;289;1867,794;273,732;61,941;20,224;18,194;42,516;21,633;1859;280;33,69;19;6,5025;1,438683438;;;;
1;na;1;21;219;928,272;277,61;54,284;18,8;14,832;128,064;20;922;270;126,87;15,977;4,9275;1,252386508;;;;
1;na;1;22;3168;47,65;364,766;210,794;68,203;59,141;42,911;68,942;34;397;66,038;59,16;71,28;4,763310686;;;;
1;na;1;23;427;841,289;399,05;77,255;27,615;19,688;140,645;28,425;830;390;140,711;20,468;9,6075;1,748760198;;;;
1;na;1;24;130;627,908;411,108;41,213;13,513;12,249;23,257;14,765;621;414;28,301;12;2,925;0,964912647;;;;
1;na;1;25;53;1021,802;416,179;35,213;11,71;5,763;136,087;14,142;1016;410;135;8,233;1,1925;0,616104325;;;;
1;na;1;26;1883;1514,095;435,853;163,681;51,982;46,122;43,28;54,203;1499;458;60,124;46,879;42,3675;3,672328158;;;;
1;na;1;27;6482;145,128;475,332;330,919;122,841;67,186;134,639;125,495;97;431;139,201;69,968;145,845;6,813509034;;;;
1;na;1;28;122;298,156;480,615;40,284;13,041;11,912;117,449;13,928;296;474;111,038;12,021;2,745;0,934751645;;;;
1;na;1;29;62;999,097;485,5;31,213;12,652;6,24;164,95;13;993;483;157,38;7;1,395;0,666364983;;;;
1;na;1;30;444;554,779;494,773;77,598;24,725;22,864;7,635;25,612;545;503;38,66;22;9,99;1,783231831;;;;
1;na;1;31;87;1839,753;506,282;33,799;10,734;10,32;12,536;11,705;1834;508;19,983;10;1,9575;0,789361516;;;;
1;na;1;32;1934;1912,02;525,12;172,024;62,565;39,358;20,198;62,65;1885;542;28,61;39,051;43,515;3,721727381;;;;
1;na;1;33;266;505,496;523,831;60,527;19,801;17,105;68,506;20,881;503;534;73,301;17;5,985;1,380248046;;;;
1;na;1;34;1425;744,705;546,751;140,61;44,443;40,824;152,244;45,88;723;540;163,54;41,012;32,0625;3,194653459;;;;
1;na;1;35;382;1720,099;565,233;71,841;23,523;20,677;35,258;24,413;1713;575;55,008;21,213;8,595;1,654047603;;;;
1;na;1;36;177;1791,353;574,556;61,941;24,4;9,236;73,207;24,698;1786;585;68,629;11,59;3,9825;1,125908132;;;;
1;na;1;37;1853;606,88;595,757;161,681;53,949;43,732;96,452;55,66;597;571;107,784;45;41,6925;3,642956894;;;;
1;na;1;38;371;444,357;589,724;71,012;24,828;19,026;35,286;26,077;434;598;32,471;19,799;8,3475;1,630058826;;;;
1;na;1;39;825;1126,541;621,808;128,225;33,865;31,018;97,615;39,661;1122;604;123,69;35,639;18,5625;2,430766805;;;;
1;na;1;40;1097;673,712;624,617;128,61;47,451;29,435;45,214;47,634;654;638;39,036;30,218;24,6825;2,802977661;;;;
1;na;1;41;76;1649,868;621,645;32,971;11,415;8,477;139,037;12,806;1646;617;128,66;9,617;1,71;0,737773614;;;;
1;na;1;42;203;1168,682;640,978;63,598;22,85;11,312;151,78;26,42;1156;633;150,524;12,335;4,5675;1,205769632;;;;
1;na;1;43;58;1148,397;641,741;34,87;13,446;5,492;154,626;14,866;1142;640;160,346;7,062;1,305;0,644510979;;;;
1;na;1;44;190;1843,184;668,932;50,527;16,457;14,7;21,072;17,205;1836;673;35,538;15,18;4,275;1,166522509;;;;
1;na;1;45;269;726,875;677,972;62,184;22,091;15,504;137,57;23,601;720;669;126,384;16,263;6,0525;1,388009577;;;;
1;na;1;46;188;494,218;684,122;50,527;17,875;13,392;139,224;18,601;488;677;126,254;14,142;4,23;1,160366674;;;;
1;na;1;47;292;2016,801;682,969;64,527;24,774;15,007;0,315;24,739;2005;679;165,964;15;6,57;1,446131374;;;;
1;na;1;48;4070;243,871;718,47;241,037;81,569;63,53;20,861;83,217;204;729;20,395;63,975;91,575;5,399002484;;;;
1;na;1;49;1028;1058,418;707,481;119,64;40,247;32,521;129,5;41,4;1045;692;127,147;33,523;23,13;2,713394123;;;;
1;na;1;50;555;1455,068;741,242;88,326;29,827;23,691;38,943;30,61;1447;754;51,633;24,716;12,4875;1,993713797;;;;
1;na;1;51;208;890,168;745,053;53,113;18,019;14,697;15,476;18,974;881;749;18,435;15;4,68;1,220528684;;;;
1;na;1;52;90;181,944;748,344;34,627;11,664;9,825;138,857;12,53;176;746;151,39;10,607;2,025;0,802855852;;;;
1;na;1;53;702;1938,182;776,571;98,669;31,704;28,192;175,37;32,573;1923;769;162,121;28;15,795;2,242254368;;;;
1;na;1;54;245;1723,671;786,716;58,87;20,177;15,46;18,266;21,471;1714;791;27,759;15,895;5,5125;1,324644574;;;;
1;na;1;55;535;1092,405;796,382;85,841;27,87;24,441;152,93;29,155;1080;788;149,036;25;12,0375;1,957461431;;;;
1;na;1;56;240;1334,908;807,254;71,255;20,863;14,647;163,476;26,926;1320;803;164,932;16,979;5,4;1,311058117;;;;
1;na;1;57;1855;894,517;841,08;176,167;62,54;37,766;78,164;64,777;888;872;81,119;41,711;41,7375;3,644922341;;;;
1;na;1;58;978;1854,696;824,802;118,468;39,827;31,266;24,766;41,183;1836;834;29,055;32,119;22,005;2,646584411;;;;
1;na;1;59;790;1539,128;833,513;106,225;34,435;29,211;17,569;35,693;1522;828;168,69;28,995;17,775;2,378646301;;;;
1;na;1;60;545;596,162;834,172;86,083;27,097;25,608;140,239;28,302;590;821;122,005;26;12,2625;1,975670767;;;;
1;na;1;61;551;1034,351;847,366;90,912;32,545;21,556;36,249;33,838;1021;857;34,16;23,031;12,3975;1,986516251;;;;
1;na;1;62;230;248,5;845,3;55,113;17,941;16,322;34,95;18,868;241;851;32,005;16,971;5,175;1,283453802;;;;
1;na;1;63;53;801,538;844,217;26,042;9,108;7,409;149,785;9,849;797;842;156,038;7,778;1,1925;0,616104325;;;;
1;na;1;64;732;774,393;870,671;99,74;32,487;28,688;159,123;34,015;759;864;155,695;29;16,47;2,289664566;;;;
1;na;1;65;304;1890,674;870,086;65,012;20,404;18,97;159,827;21,587;1881;865;166,608;19,799;6,84;1,475547228;;;;
1;na;1;66;442;57,525;876,367;78,669;27,586;20,401;57,328;28,844;49;888;56,31;21,204;9,945;1,77921101;;;;
1;na;1;67;373;1323,698;892,277;73,012;25,325;18,753;51,717;27,019;1315;903;51,009;19,799;8,3925;1,63444661;;;;
1;na;1;68;406;352,18;898,695;75,841;26,741;19,331;22,185;27,313;340;904;23,749;20,127;9,135;1,705215766;;;;
1;na;1;69;136;1040,89;913,331;41,698;14,022;12,349;147,084;14,866;1034;910;160,346;12,728;3,06;0,986928696;;;;
1;na;1;70;197;115,18;916,835;51,113;16,045;15,632;103,234;17,205;110;910;125,538;16;4,4325;1,187816724;;;;
1;na;1;71;643;676,304;923,516;95,74;34,076;24,025;22,362;34,986;660;931;30,964;25,494;14,4675;2,145960922;;;;
1;na;1;72;2889;1153,6;950,596;219,137;65,701;55,987;30,996;75,802;1119;969;36,416;58,502;65,0025;4,548729315;;;;
1;na;1;73;355;1051,945;948,021;71,598;26,433;17,1;5,504;27,659;1039;950;12,529;17;7,9875;1,59452194;;;;
1;na;1;74;1963;1448,823;976,421;216,108;78,4;31,88;72,39;77,389;1431;1011;64,759;37,355;44,1675;3,74952689;;;;
1;na;1;75;151;1558,46;951,427;47,598;16,942;11,348;150,259;18,028;1550;947;160,56;12,021;3,3975;1,039931651;;;;
1;na;1;76;279;125,977;965,959;62,184;20,617;17,23;49,342;21,633;120;975;56,31;18,31;6,2775;1,413573596;;;;
1;na;1;77;1904;581,879;998,369;168,024;58,792;41,234;24,841;60,465;557;1013;34,216;42,436;42,84;3,692749047;;;;
