Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;1;1;1156;541,529;22,343;130,569;44,587;33,011;82,894;46,098;533;42;65,659;34;0,765;0,493464348;;;;
1;na;1;2;8360;1680,017;53,884;431,706;112,982;94,212;92,22;139,086;1652;124;63,066;92,19;2,074275;0,812565221;;;;
1;na;1;3;132;1071,553;15,864;42,627;13,574;12,382;134,788;15;1066;11;143,13;12,966;0,291735;0,304732891;;;;
1;na;1;4;120;1322,358;34,892;40,627;14,525;10,519;73,05;14,866;1317;40;47,726;11;0,2475;0,280680774;;;;
1;na;1;5;227;1218,416;86,289;56,284;20,365;14,192;68,875;21,471;1214;96;62,241;14,867;0,3345075;0,326308204;;;;
1;na;1;6;5351;1760,63;130,843;323,404;127,999;53,228;32,661;126,21;1709;175;37,596;55,299;1,2442275;0,629324967;;;;
1;na;1;7;258;1514,926;146,217;59,113;20,319;16,167;78,106;21,095;1509;155;58,57;16;0,36;0,33851375;;;;
1;na;1;8;103;1690,228;147,296;36,627;12,921;10,15;39,764;13,892;1684;150;30,256;10,607;0,2386575;0,275621192;;;;
1;na;1;9;220;1668,195;175,073;69,598;22,542;12,426;56,999;25,495;1661;183;64,44;14,981;0,3370725;0,327556879;;;;
1;na;1;10;3451;1407,712;244,072;219,38;66,848;65,731;76,227;68,731;1401;210;98,366;66;1,485;0,687524677;;;;
1;na;1;11;2565;876,459;277,226;191,782;64,687;50,487;13,587;66,731;848;293;29,638;50,2;1,1295;0,599609053;;;;
1;na;1;12;3832;979,691;313,026;233,522;75,446;64,67;111,101;76,531;976;274;96,754;63,39;1,426275;0,673793316;;;;
1;na;1;13;545;1205,452;401,528;91,841;34,453;20,141;96,64;34,713;1201;384;101,634;21;0,4725;0,387816221;;;;
1;na;1;14;10203;872,275;440,252;394,392;145,319;89,396;3,079;144,586;801;457;12,787;87;1,9575;0,789361516;;;;
1;na;1;15;554;1202,827;476,045;88,326;29,922;23,574;89,386;31,401;1201;492;80,838;24;0,54;0,414592979;;;;
1;na;1;16;287;1350,716;477,012;73,698;30,95;11,807;6,751;30,806;1337;481;13,134;13;0,2925;0,305132171;;;;
1;na;1;17;119;1563,433;531,189;39,456;13,593;11,146;99,318;14,318;1562;524;102,095;11;0,2475;0,280680774;;;;
1;na;1;18;366;346,399;559,208;71,255;23,342;19,965;37,426;24,413;335;564;34,992;20,506;0,461385;0,383227618;;;;
1;na;1;19;7221;1183,709;671,777;350,978;130,862;70,258;72,812;124,326;1143;719;50,548;68,469;1,5405525;0,700266443;;;;
1;na;1;20;3772;675,151;650,268;238,25;81,44;58,972;62,802;80,523;672;690;75,619;58,765;1,3222125;0,648747494;;;;
1;na;1;21;7274;271,828;669,103;331,806;111,475;83,082;74,554;110,164;263;614;93,122;80,384;1,80864;0,758754237;;;;
1;na;1;22;318;788,487;636,164;66,77;24,844;16,297;107,654;25,298;785;624;108,435;16,979;0,3820275;0,348716403;;;;
1;na;1;23;227;1136,112;742,002;56,284;20,59;14,037;171,526;21,19;1126;739;160,71;14;0,315;0,316650618;;;;
1;na;1;24;91;1357,687;802,544;35,213;12,874;9;82,185;13,601;1356;809;72,897;9;0,2025;0,253885313;;;;
1;na;1;25;2038;499,625;836,522;180,61;66,624;38,948;78,774;67,72;487;871;73,706;41;0,9225;0,5418864;;;;
1;na;1;26;128;236,625;817,93;41,799;14,532;11,215;102,559;15;232;812;126,87;11;0,2475;0,280680774;;;;
1;na;1;27;914;1368,852;869,354;139,397;57,2;20,345;95,294;57,559;1366;839;97,989;22,867;0,5145075;0,404688552;;;;
1;na;1;28;1758;1165,784;866,76;159,924;56,841;39,379;54,169;57,201;1149;890;53,531;40,132;0,90297;0,536119649;;;;
1;na;1;29;2029;13,835;904,547;206,711;76,898;33,595;95,896;85,147;0;857;93,366;33;0,7425;0,486153361;;;;
1;na;1;30;737;523,219;892,466;102,569;35,929;26,118;38,371;36,892;507;902;32,829;26,916;0,60561;0,439057684;;;;
1;na;1;31;185;1554,332;889,781;49,698;16,193;14,547;156,158;17,205;1548;884;144,462;15;0,3375;0,327764529;;;;
