Sample;Tilt angle to optical axis ;Image;Particle number;Area;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm]
1;na;1;1;1862;684,965;229,466;161,882;51,037;46,452;45,492;55,218;662;245;35,417;46,616;41,895;3,651793078
1;na;1;2;4183;1934,889;356,566;272,066;100,634;52,924;1,869;97,499;1889;374;21,038;52,643;94,1175;5,473438655
1;na;1;3;167;1072,41;477,243;60,284;25,139;8,458;103,627;25,962;1069;464;105,642;9,617;3,7575;1,093640433
1;na;1;4;6724;1175,613;561,721;350,458;147,896;57,887;133,101;141,4;1138;503;126,951;56,569;151,29;6,939531878
1;na;1;5;60;1085,1;520,617;29,799;11,197;6,823;103,847;11,705;1083;515;109,983;7,276;1,35;0,655529058
1;na;1;6;7130;267,365;653,062;324,735;100,881;89,989;161,983;104,995;227;619;130,365;88,786;160,425;7,145968338
1;na;1;7;7506;1047,811;686,912;336,86;112,936;84,623;26,714;116,842;989;691;6,882;82,043;168,885;7,331968708
1;na;1;8;6743;1521,104;1075,35;323,588;117,346;73,164;133,593;112,805;1469;1053;155,934;69,981;151,7175;6,949329475
1;na;1;9;2780;296,016;1150,215;198,35;64,514;54,865;149,068;67,912;263;1141;166,373;53,74;62,55;4,462094058
1;na;1;10;6894;1521,764;1914,54;325,061;108,711;80,743;139,585;109,385;1469;1898;165,71;83,23;155,115;7,026708902
1;na;2;1;1057;1421,441;30,609;125,095;43,71;30,789;121,675;44,385;1415;9;104,349;30,522;23,7825;2,751400528
1;na;2;2;2049;1431,585;168,865;172,368;53,075;49,154;58,065;57,689;1408;188;33,69;48,768;46,1025;3,830780799
1;na;2;3;4842;1021,318;207,344;266,551;82,213;74,989;107,558;89,471;1002;165;115,133;74;108,945;5,888825906
1;na;2;4;12683;539,681;364,309;489,411;204,081;79,128;38,872;197,874;465;423;38,434;79,432;285,3675;9,530755293
1;na;2;5;1956;1474,918;350,83;166,409;53,554;46,504;4,063;55,326;1448;346;173,774;47,549;44,01;3,742835568
1;na;2;6;7692;1881,315;403,639;428,475;158,965;61,609;167,234;166,433;1805;385;159,605;64,486;173,07;7,42225653
1;na;2;7;1746;880,02;449,779;163,095;58,822;37,794;114,832;58,873;869;422;110,898;37,582;39,285;3,536213212
1;na;2;8;4720;907,354;572,024;265,706;90,819;66,172;23,412;93,392;863;583;12,995;65,661;106,2;5,814164593
1;na;2;9;246;2026,175;596,272;59,941;22,051;14,204;10,873;22,804;2015;599;15,255;15;5,535;1,327345177
1;na;2;10;2668;1662,618;801,623;212,309;80,163;42,376;64,353;78,772;1639;833;56,915;42,13;60,03;4,371286134
1;na;2;11;2254;1621,238;1482,39;178,208;58,101;49,395;82,17;62,65;1615;1513;81,741;50,912;50,715;4,017845925
1;na;2;12;8131;1471,971;1895,871;344,35;109,066;94,922;98,54;115,974;1441;1844;119,438;92,7;182,9475;7,631120357
1;na;3;1;96;1517,656;149,115;36,284;11,618;10,521;47,327;13;1515;155;67,38;10,607;2,16;0,829185959
1;na;3;2;1298;1531,059;191,872;155,439;51,318;32,204;120,377;58,249;1519;164;124,509;36,144;29,205;3,048973635
1;na;3;3;1887;771,551;223,57;162,468;50,992;47,117;27,973;55;750;240;36,87;46;42,4575;3,676226597
1;na;3;4;6556;1262,029;556,882;345,973;146,561;56,955;133,234;140,602;1222;500;127,196;55,508;147,51;6,852290953
1;na;3;5;725;2005,249;537,729;110,468;42,686;21,625;138,489;44,204;1987;523;142,352;23,206;16,3125;2,278690417
1;na;3;6;1178;1917,657;551,981;141,782;54,503;27,519;25,987;55,758;1894;564;32,55;30,318;26,505;2,904617623
1;na;3;7;84;1969,464;540,131;34,042;12,952;8,258;164,841;13,601;1963;539;162,897;9;1,89;0,775632442
1;na;3;8;76;1989,987;553,724;33,456;10,477;9,236;151,482;11,662;1986;549;120,964;9,842;1,71;0,737773614
1;na;3;9;6848;354,323;648,323;314,593;100,289;86,94;159,062;103,392;314;615;131,864;85,725;154,08;7,003226918
1;na;3;10;7413;1133,003;680,763;334,86;111,532;84,626;22,295;116,726;1074;686;6,394;82,87;166,7925;7,286405265
1;na;3;11;6613;1606,118;1068,82;319,487;116,814;72,08;134,075;112,721;1552;1050;158,671;68,474;148,7925;6,882014512
1;na;3;12;2699;382,66;1144,758;195,279;64,705;53,11;152,314;68,154;350;1134;165,556;53,033;60,7275;4,396608194
1;na;3;13;6622;1605,77;1908,834;314,617;109,32;77,126;139,692;110,064;1555;1887;162,553;75,023;148,995;6,886695978
1;na;4;1;5420;1621,029;320,406;278,794;84,458;81,709;179,382;90,918;1580;341;29,667;79,467;121,95;6,230400518
1;na;4;2;5672;1220,372;790,167;303,647;118,208;61,094;43,714;115,434;1181;835;48,16;59,562;127,62;6,373594565
1;na;4;3;2137;1644,772;814,033;172,066;56,16;48,449;140,336;57,385;1619;802;157,457;47,951;48,0825;3,912177795
1;na;4;4;4493;992,992;1158,543;292,635;107,333;53,298;17,71;113,225;941;1177;17,475;58,334;101,0925;5,672630974
1;na;4;5;2617;566,523;1656,578;198,25;71,939;46,318;126,435;70,88;556;1623;106,39;45,027;58,8825;4,32930501
1;na;4;6;1696;853,376;1886,11;154,125;50,377;42,865;150,255;52,402;837;1866;131,906;43,164;38,16;3,485212369
1;na;5;1;1046;766,474;51,859;129,924;48,357;27,541;124,152;47,927;756;30;113,356;27,238;23,535;2,737046432
1;na;5;2;2385;901,484;320,349;186,451;59,137;51,35;125,991;60,828;899;351;80,538;49,986;53,6625;4,132953456
1;na;5;3;5922;1576,34;738,969;348,919;98,749;76,356;110,777;109,385;1530;785;67,42;89,78;133,245;6,512541807
1;na;5;4;2947;1069,935;771,892;211,338;72,727;51,593;168,014;72,567;1035;782;11,929;49,972;66,3075;4,594162903
1;na;5;5;172;1508,686;787,087;61,698;24,696;8,868;11,247;25,962;1498;791;15,642;10,673;3,87;1,109891553
1;na;5;6;1086;1640,249;830,952;131,539;50,028;27,639;42,087;51,088;1619;845;40,236;28,99;24,435;2,788889038
1;na;5;7;12490;192,355;927,224;460,156;182,685;87,05;129,004;178,104;137;856;130,217;86,793;281,025;9,457961502
1;na;5;8;195;708,069;1017,838;71,255;22,41;11,079;56,113;23,854;698;1025;33,024;12,508;4,3875;1,181771816
1;na;5;9;53;688,368;1012,613;27,213;8,99;7,506;129,832;9,849;687;1008;113,962;8,327;1,1925;0,616104325
1;na;5;10;105;725,357;1018,262;47,355;13,765;9,712;155,246;16,643;720;1012;147,265;11,183;2,3625;0,867183433
1;na;5;11;10687;1043,302;1118,675;472,576;188,383;72,231;178,393;192,51;944;1114;175,83;76,989;240,4575;8,74871416
1;na;5;12;4444;55,469;1210,545;314,007;98,789;57,276;178,872;104,809;9;1226;15,495;69;99,99;5,641613734
1;na;5;13;9025;553,248;1624,325;381,973;140,344;81,877;131,153;139,943;492;1593;149,036;79,971;203,0625;8,039701566
1;na;5;14;3069;989,61;1694,894;210,836;67,084;58,249;58,28;70,859;982;1728;81,069;57,559;69,0525;4,688293231
1;na;5;15;2553;1098,174;1893,904;191,196;58,239;55,815;155,617;62,434;1080;1869;121,908;54,012;57,4425;4,276039714
1;na;5;16;3867;1254,784;1946,249;238,593;84,094;58,549;37,171;84,9;1227;1976;43,091;58,69;87,0075;5,262636927
1;na;5;17;7699;248,587;1976,615;413,144;122,188;80,226;42,109;129,139;215;2032;59,265;89,147;173,2275;7,425633024
1;na;5;18;237;202,757;1943,483;63,355;20,049;15,051;75,271;22,847;197;1955;66,801;16;5,3325;1,302838236
1;na;5;19;62;184,355;1954,016;33,213;12,01;6,573;153,181;13,416;178;1952;153,435;7,606;1,395;0,666364983
1;na;6;1;973;2006,495;126,228;137,64;58,115;21,318;103,879;56,754;1999;99;104,281;21,266;21,8925;2,639810445
1;na;6;2;11785;1140,166;167,269;444,818;162,777;92,182;164,854;159,878;1066;143;167,355;92,859;265,1625;9,187156535
1;na;6;3;6342;1868,514;180,46;317,723;120,989;66,741;0,69;118,697;1809;188;9,7;63,252;142,695;6,739527373
1;na;6;4;2599;655,05;210,563;201,765;60,262;54,913;124,762;65,62;624;206;172,117;53,102;58,4775;4,314390614
1;na;6;5;2787;1656,802;293,892;265,22;98,067;36,185;37,404;97,453;1620;327;38,752;41,047;62,7075;4,46770827
1;na;6;6;13844;192,717;639,7;479,99;176,827;99,683;3,448;174,195;110;667;12,6;100,376;311,49;9,957426698
1;na;6;7;666;1116,71;609,336;99,497;37,073;22,873;112,706;38,079;1110;592;113,199;24,013;14,985;2,184004039
1;na;6;8;9363;1423,735;806,196;386,517;136,734;87,186;132,427;135,949;1373;759;132,019;90,31;210,6675;8,188867318
1;na;6;9;3226;239,595;1042,019;232,309;79,509;51,66;88,935;78,16;227;1004;106,348;56,94;72,585;4,806716456
1;na;6;10;3617;1945,553;1132,385;255,463;103,076;44,679;39,332;102,942;1907;1168;39,877;46,669;81,3825;5,08968116
1;na;6;11;22560;1633,851;1548,924;1202,614;472,375;60,808;104,17;467,441;1565;1312;106,147;74,732;507,6;12,71118005
1;na;6;12;4172;1726,421;1500,505;249,463;80,832;65,716;62,497;87,801;1712;1543;75,489;66,528;93,87;5,46623719
1;na;6;13;11708;999,666;1807,261;456,375;144,395;103,239;173,887;148,862;926;1808;173,83;102,684;263,43;9,157094152
1;na;7;1;7586;966,343;315,012;336,35;111,673;86,492;152,456;118,343;924;271;131,231;86,574;170,685;7,370937723
1;na;7;2;11091;109,058;357,813;496,056;211,015;66,922;27,288;202,319;20;406;28,972;70,277;249,5475;8,912543763
1;na;7;3;164;1564,945;311,366;51,355;16,041;13,017;178,643;17,464;1558;306;156,371;14,796;3,69;1,083772799
1;na;7;4;702;1599,111;507,849;101,64;32,316;27,659;170,574;34,713;1584;514;11,634;29;15,795;2,242254368
1;na;7;5;4462;1782,615;588,264;254,049;87,551;64,89;129,661;86,377;1768;547;110,323;64,421;100,395;5,653027598
1;na;7;6;6417;948,254;692,61;333,487;131,597;62,086;131,844;127,781;915;641;129,92;60,65;144,3825;6,779260811
1;na;7;7;1371;1129,702;845,736;147,539;56,228;31,045;17,999;55,027;1103;853;19,093;31,217;30,8475;3,133538609
1;na;7;8;1191;104,347;993,947;185,196;84,478;17,951;14,338;79,404;66;1007;16,837;18,562;26,7975;2,920600824
1;na;7;9;6793;418,762;1355,99;330,434;108,496;79,718;36,383;116,829;369;1395;35,595;81,317;152,8425;6,975046866
1;na;7;10;11026;1922,776;1369,45;423,706;154,442;90,9;163,894;154,35;1861;1328;148,782;89,382;248,085;8,886388924
1;na;7;11;2532;1441,562;1415,496;192,451;65,657;49,101;133,134;65,765;1412;1399;151,876;47,626;56,97;4,258416867
1;na;7;12;3506;625,219;1618,238;248,995;95,33;46,827;6,866;97,494;573;1627;10,042;47;78,885;5,010975491
1;na;7;13;12606;977,462;1849,306;459,12;168,91;95,024;4,782;167,61;899;1883;14,865;96,214;283,635;9,501780074
1;na;7;14;411;1898,536;1812,225;77,841;29,519;17,728;112,862;30,463;1892;1799;113,199;18,786;9,2475;1,715683733
1;na;8;1;10828;1696,657;251,948;439,404;168,977;81,589;73,497;163,783;1665;330;68,134;81,983;243,63;8,80623856
1;na;8;2;10137;245,713;364,201;420,534;153,995;83,813;2,695;150,443;173;375;10,339;85,446;228,0825;8,520617033
1;na;8;3;9297;1761,674;559,946;389,487;134,962;87,708;51,286;135,565;1732;622;65,136;89,095;209,1825;8,15995452
1;na;8;4;6332;271,927;553,575;310,032;106,174;75,934;147,872;108,467;219;543;167,758;75,298;142,47;6,734211868
1;na;8;5;3057;1185,988;572,594;213,338;72,063;54,012;143,523;76,485;1158;544;131,82;55,755;68,7825;4,67911848
1;na;8;6;16753;1368,686;636,62;597,387;235,567;90,55;13,545;226,815;1265;671;16,917;100,334;376,9425;10,95374476
1;na;8;7;6860;364,88;1030,492;333,279;123,714;70,602;79,12;117,239;357;973;98,337;68,433;154,35;7,009360237
1;na;8;8;4795;1560,336;1021,464;268,291;94,234;64,787;24,868;94,149;1515;1032;12,265;65,138;107,8875;5,860175581
1;na;8;9;4831;1969,291;1136,073;266,09;89,958;68,377;129,195;89,269;1963;1092;99,673;65,33;108,6975;5,882133019
1;na;8;10;3838;163,525;1243,786;233,664;77,2;63,299;93,257;81,744;160;1284;82,266;64,208;86,355;5,242866603
1;na;8;11;12174;710,654;1267,225;438,333;157,819;98,216;175,743;156,541;635;1279;4,764;96,352;273,915;9,337550668
1;na;8;12;5966;1603,5;1614,173;323,931;126,605;59,999;126,352;120,067;1574;1559;119,982;60,98;134,235;6,536690873
1;na;8;13;2856;276,523;1594,381;202,451;68,868;52,802;164,174;71,805;241;1585;167,125;53,678;64,26;4,522675457
1;na;8;14;1210;844,286;1729,982;138,711;45,985;33,503;10,062;49,041;822;1740;20,283;33,797;27,225;2,943804792
1;na;8;15;2434;626,189;1798,935;190,51;66,38;46,687;147,756;68,015;601;1777;138,576;47,67;54,765;4,175193518
1;na;8;16;1798;1275,618;1976,11;167,539;62,841;36,43;88,155;62,394;1269;2007;83,558;35,752;40,455;3,588485258
1;na;9;1;920;1422,892;175,832;133,397;54,522;21,485;104,483;54,918;1419;148;100,491;22,464;20,7;2,566907603
1;na;9;2;7245;347,434;242,282;325,463;100,255;92,012;134,839;105,688;324;193;122,638;93,942;163,0125;7,203366596
1;na;9;3;1642;709,28;298,871;172,368;70,126;29,813;102,208;68,066;702;265;100,154;30,212;36,945;3,429279625
1;na;9;4;127;1934,673;378,886;42,284;14,566;11,101;49,157;15,652;1931;386;63,435;11,805;2,8575;0,953714056
1;na;9;5;1068;1961,478;488,492;129,64;43,102;31,549;118,885;47,434;1948;470;124,695;32,017;24,03;2,765680127
1;na;9;6;4762;1791,144;546,563;364,014;168,492;35,985;130,502;159,806;1739;485;127,372;39,797;107,145;5,839975407
1;na;9;7;1465;1715,086;753,391;147,782;53,201;35,061;149,957;54,203;1695;735;142,496;35,78;32,9625;3,239180394
1;na;9;8;4612;570,143;844,476;262,309;84,482;69,508;160,214;86,556;543;811;130,314;67,757;103,77;5,747261686
1;na;9;9;8591;117,627;957,609;372,492;138,062;79,228;174,177;133,989;53;976;9,884;79,763;193,2975;7,844010787
1;na;9;10;3016;1683,128;1036,163;210,794;70,273;54,646;87,373;73,98;1674;1001;99,335;56;67,86;4,647634762
1;na;9;11;2180;257,913;1061,039;175,037;53,604;51,78;62,642;57,871;251;1089;80,049;50,205;49,05;3,951341534
1;na;9;12;841;84,691;1074,354;108,569;37,511;28,546;104,76;37,696;78;1057;111,801;28,864;18,9225;2,454224688
1;na;9;13;2599;1939,796;1186,984;201,581;73,94;44,755;76,782;73,055;1932;1223;70,821;43,412;58,4775;4,314390614
