Sample;Tilt angle to optical axis;Image;;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;1;1;2667;1940,302;232,712;202,61;76,426;44,432;178,298;75,313;1902;239;10,713;42,898;60,0075;4,370466851;;;;
1;na;1;2;3388;1154,573;365,352;232,936;75,077;57,457;53,391;82,152;1116;389;31,562;55,874;76,23;4,92592759;;;;
1;na;1;3;1934;786,554;365,181;166,995;53,703;45,853;72,629;55,731;781;338;99,293;44,278;43,515;3,721727381;;;;
1;na;1;4;1119;1311,179;684,219;126,811;45,413;31,374;103,163;46,098;1303;663;114,341;31,569;25,1775;2,83094457;;;;
1;na;1;5;1718;762,874;737,907;166,167;63,75;34,313;157,239;63,6;732;730;163,56;34,438;38,655;3,507744097;;;;
1;na;1;6;6895;1088,242;837,042;331,563;119,095;73,714;103,093;116,619;1091;897;84,094;72,599;155,1375;7,027218509;;;;
1;na;1;7;1694;893,066;816,328;159,095;56,884;37,917;139,29;58,258;870;800;140,572;39,598;38,115;3,483156803;;;;
1;na;1;8;4306;1588,814;976,466;257,765;91,532;59,898;7,258;93,059;1542;985;8,653;60,404;96,885;5,55332813;;;;
1;na;1;9;3597;1881,207;1094,311;233,664;81,946;55,889;48,484;82,68;1846;1114;32,152;54,316;80,9325;5,0755901;;;;
1;na;1;10;3521;798,151;1251,075;229,522;78,903;56,817;51,792;83,006;777;1287;58,799;57,146;79,2225;5,021683478;;;;
1;na;1;11;1043;950,75;1284,666;147,497;64,855;20,476;175,224;62,514;919;1280;172,648;20,712;23,4675;2,733118595;;;;
1;na;1;12;2863;1117,702;1648,254;214,836;83,001;43,919;134,075;81,841;1091;1616;125,049;45,054;64,4175;4,528214559;;;;
1;na;1;13;1146;1348,493;1739,159;137,154;55,641;26,224;87,902;54,452;1344;1712;97,386;26;25,785;2,864894486;;;;
1;na;1;14;6365;286,12;1840,933;313,605;107,719;75,234;72,72;107,671;277;1894;83,601;76,217;143,2125;6,751737152;;;;
1;na;2;1;3585;417,148;160,078;238,894;85,695;53,265;94,715;87,476;409;203;79,461;53,344;80,6625;5,067116655;;;;
1;na;2;2;8284;1603,06;225,027;387,463;148,853;70,859;14,959;140,431;1532;223;4,493;67,4;186,39;7,702582663;;;;
